metodo,quantidade_medicoes,vies_m,mae_m,rmse_m,mediana_erro_absoluto_m,mape_percentual
centro_api,4,0.4654924471014515,0.5083492885588674,0.7244712869933493,0.28003391726019944,55.5522512341352
obb_p10,4,0.098374341844729,0.14332324548809305,0.14737160011145506,0.1537007577704959,14.422937463691547
obb_p25,4,0.24855053464100269,0.28785456908813545,0.3489947163070239,0.2310016938800613,30.202207642925462
obb_mediana,4,0.47505013676980423,0.5038270103269701,0.7219449212796318,0.288099643402038,54.44103242729746
