ponto,fracao_eixo_maior,x_px,y_px,amostras,z_p10_m,z_mediana_m,z_p90_m,distancia_mediana_m
1,-0.4,674,873,49,0.9112365007400512,0.9289968609809875,0.9806500196456909,0.9427406604959576
2,-0.30000000000000004,696,867,49,1.4383971691131592,1.6480395793914795,1.778757882118225,1.6772947464579955
3,-0.2,718,862,49,1.3365323066711425,1.8993149995803833,2.140425443649292,1.9392152301414172
4,-0.09999999999999998,740,857,49,1.4159711122512817,1.5087710618972778,1.7831407546997071,1.5458264577152798
5,0.0,762,852,49,2.075298881530762,2.1170239448547363,2.302564001083374,2.1771586429481777
6,0.09999999999999998,784,847,49,2.2468289375305175,2.274445056915283,2.2907556533813476,2.3484563202023483
7,0.20000000000000007,806,842,49,2.1117416858673095,2.241929769515991,2.2918306827545165,2.3247953177730474
8,0.30000000000000004,827,836,49,2.1603086948394776,2.1715927124023438,2.19948673248291,2.2620736157690624
9,0.4,849,831,49,2.005382776260376,2.084477424621582,2.4796159744262694,2.1817151610094303
