imagem,numero_rosa,posicao_relativa,deteccao,classe,centro_x_px,centro_y_px,raio_px,amostras_circulo,amostras_apos_mad,z_centro_m,z_min_m,z_p10_m,z_p25_m,z_mediana_bruta_m,z_p75_m,z_p90_m,z_max_m,z_api_m,distancia_centro_m,distancia_api_m,distancia_real_m,erro_api_cm,dispersao_p90_p10_m
img1.jpeg,1,mais_proxima,4,Sphere Valve S,761.8074951171875,851.901611328125,9,253,253,2.114579439163208,2.0209944248199463,2.0714821338653566,2.110398292541504,2.1563634872436523,2.285240411758423,2.309987115859985,2.328643560409546,2.1563634872436523,2.1746447003416325,2.217615636800239,0.83,138.7615636800239,0.23850498199462855
img1.jpeg,2,mais_distante,5,Sphere Valve L,659.5865478515625,304.67578125,6,113,113,1.6924413442611694,1.6788456439971924,1.6880291223526,1.690116286277771,1.6953448057174683,1.7056554555892944,1.7117631435394287,1.7196236848831177,1.6953448057174683,1.8567506576143755,1.8599359993023583,1.51,34.99359993023583,0.023734021186828658
img5.jpeg,1,mais_proxima,4,Sphere Valve L,436.0295715332031,1398.3721923828125,13,529,528,0.434090793132782,0.42818334698677063,0.43196024298667907,0.4334065020084381,0.43450769782066345,0.4360826313495636,0.437880152463913,0.4402672052383423,0.43451160192489624,0.47382698791806477,0.47428631708516816,0.56,-8.57136829148319,0.00591990947723392
img5.jpeg,2,mais_distante,2,Sphere Valve L,345.2410583496094,594.407958984375,4,49,49,1.4476090669631958,1.4272067546844482,1.4353171348571778,1.4397883415222168,1.4474743604660034,1.4579050540924072,1.4628185033798218,1.4641495943069458,1.4474743604660034,1.4802695809221103,1.4801318352180406,1.27,21.01318352180406,0.027501368522643954
