imagem,numero_rosa,posicao_relativa,deteccao,classe,metodo,z_estimado_m,distancia_real_m,distancia_estimada_m,erro_assinado_m,erro_absoluto_m,erro_percentual_absoluto
img1.jpeg,1,mais_proxima,4,Sphere Valve S,centro_api,2.1563634872436523,0.83,2.217615636800239,1.387615636800239,1.387615636800239,167.18260684340228
img1.jpeg,1,mais_proxima,4,Sphere Valve S,obb_mediana,2.15047025680542,0.83,2.2115550073894727,1.3815550073894727,1.3815550073894727,166.45241052885214
img1.jpeg,1,mais_proxima,4,Sphere Valve S,obb_p10,0.94010990858078,0.83,0.9668140116045354,0.13681401160453543,0.13681401160453543,16.483615855968125
img1.jpeg,1,mais_proxima,4,Sphere Valve S,obb_p25,1.4010106921195984,0.83,1.4408068196981536,0.6108068196981536,0.6108068196981536,73.59118309616309
img1.jpeg,2,mais_distante,5,Sphere Valve L,centro_api,1.6953448057174683,1.51,1.8599359993023583,0.3499359993023583,0.3499359993023583,23.174569490222403
img1.jpeg,2,mais_distante,5,Sphere Valve L,obb_mediana,1.6921628713607788,1.51,1.8564451493953278,0.3464451493953278,0.3464451493953278,22.943387377174023
img1.jpeg,2,mais_distante,5,Sphere Valve L,obb_p10,1.5318673849105835,1.51,1.6805875039364564,0.17058750393645639,0.17058750393645639,11.297185691156052
img1.jpeg,2,mais_distante,5,Sphere Valve L,obb_p25,1.6092764139175415,1.51,1.7655117265698288,0.2555117265698288,0.2555117265698288,16.9213063953529
img5.jpeg,1,mais_proxima,4,Sphere Valve L,centro_api,0.43451160192489624,0.56,0.47428631708516816,-0.08571368291483189,0.08571368291483189,15.306014806219977
img5.jpeg,1,mais_proxima,4,Sphere Valve L,obb_mediana,0.4603099822998047,0.56,0.5024462528856685,-0.05755374711433159,0.05755374711433159,10.277454841844925
img5.jpeg,1,mais_proxima,4,Sphere Valve L,obb_p10,0.4306783676147461,0.56,0.47010219271327197,-0.08989780728672808,0.08989780728672808,16.053179872630015
img5.jpeg,1,mais_proxima,4,Sphere Valve L,obb_p25,0.4410213232040405,0.56,0.4813919311057345,-0.07860806889426553,0.07860806889426553,14.03715515969027
img5.jpeg,2,mais_distante,2,Sphere Valve L,centro_api,1.4474743604660034,1.27,1.4801318352180406,0.21013183521804057,0.21013183521804057,16.54581379669611
img5.jpeg,2,mais_distante,2,Sphere Valve L,obb_mediana,1.4666637182235718,1.27,1.4997541374087482,0.22975413740874817,0.22975413740874817,18.090876961318752
img5.jpeg,2,mais_distante,2,Sphere Valve L,obb_p10,1.4140894055366515,1.27,1.4459936591246523,0.17599365912465226,0.17599365912465226,13.85776843501199
img5.jpeg,2,mais_distante,2,Sphere Valve L,obb_p25,1.4439145028591156,1.27,1.4764916611902938,0.20649166119029383,0.20649166119029383,16.25918592049558
