imagem,sha256,tamanho_bytes,largura_px,altura_px,quantidade_deteccoes,origem_arquivo,metodo_congelado,quantil,fx,fy,cx,cy,depth_scale,depth_bias_meters,modelo_profundidade,pesos_yolo,commit_api
img2.jpeg,22b497424d76ad726b160101db551c3c4e1ac70bf3236967248090ee9ff68d31,230393,900,1600,4,WhatsApp,obb_p10,0.1,1268.9369,1272.668,457.3792,841.9177,1.0,0.0,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,best.pt,c4f6de41a9f16a586d0560c4c192d3996c09384c
img3.jpeg,f585597c2d7be99140e211d4e1dd1924beb289f8eefb1ef46ed5646a826b8639,200740,900,1600,5,WhatsApp,obb_p10,0.1,1268.9369,1272.668,457.3792,841.9177,1.0,0.0,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,best.pt,c4f6de41a9f16a586d0560c4c192d3996c09384c
img4.jpeg,e00386e4951f7fc61558e57bd5a9741f84f3354aba28b63e5f583b86cca969c8,181468,900,1600,7,WhatsApp,obb_p10,0.1,1268.9369,1272.668,457.3792,841.9177,1.0,0.0,depth-anything/Depth-Anything-V2-Metric-Indoor-Small-hf,best.pt,c4f6de41a9f16a586d0560c4c192d3996c09384c
