imagem,deteccao,classe,camera_x,camera_y,camera_z,distancia_camera,pos_x,pos_y,pos_z,is_anchor
img1.jpeg,1,Globe Valve,0.0215154474093819,0.10305235029488144,1.3063089847564697,1.3105441102969422,0.0215154474093819,0.10305235029488144,1.3063089847564697,False
img1.jpeg,2,Globe Valve,0.020993517847871363,0.7308528066601154,1.2475290298461914,1.445999734821406,0.020993517847871363,0.7308528066601154,1.2475290298461914,False
img1.jpeg,3,Sphere Valve S,-0.09205261537252037,-0.010710371684543037,1.0580798387527466,1.0621305669424925,-0.09205261537252037,-0.010710371684543037,1.0580798387527466,False
img1.jpeg,4,Sphere Valve S,0.5173291596095425,-0.01691638498638066,2.1563634872436523,2.2176156368002387,0.5173291596095425,-0.01691638498638066,2.1563634872436523,True
img1.jpeg,5,Sphere Valve L,0.27015620466080836,0.7156699912046964,1.6953448057174683,1.8599359993023585,0.27015620466080836,0.7156699912046964,1.6953448057174683,False
img1.jpeg,6,Globe Valve,0.04140268563187148,0.05622004742565813,1.1286044120788574,1.1307620417550008,0.04140268563187148,0.05622004742565813,1.1286044120788574,False
img1.jpeg,7,Sphere Valve S,0.3026002092263882,-0.12755271581508904,1.3237265348434448,1.3638506226798786,0.3026002092263882,-0.12755271581508904,1.3237265348434448,False
img5.jpeg,1,Sphere Valve S,-0.216274323065834,-0.11454328695200369,0.7664169669151306,0.8045431713579714,-0.216274323065834,-0.11454328695200369,0.7664169669151306,False
img5.jpeg,2,Sphere Valve L,-0.12791580485148263,0.2815062562158378,1.4474743604660034,1.4801318352180406,-0.12791580485148263,0.2815062562158378,1.4474743604660034,True
img5.jpeg,3,Sphere Valve L,-0.13000862222604603,0.14427614541118727,1.4059631824493408,1.419313326362753,-0.13000862222604603,0.14427614541118727,1.4059631824493408,False
img5.jpeg,4,Sphere Valve L,-0.007310577275835613,-0.18998350935480493,0.43451160192489624,0.4742863170851682,-0.007310577275835613,-0.18998350935480493,0.43451160192489624,False
img5.jpeg,5,Sphere Valve L,0.144132079383357,0.07213461221186905,0.8628199696540833,0.8777447001379161,0.144132079383357,0.07213461221186905,0.8628199696540833,False
img5.jpeg,6,Sphere Valve L,0.18369842506293949,0.0583826644126556,0.6952402591705322,0.7214656366356155,0.18369842506293949,0.0583826644126556,0.6952402591705322,False
img5.jpeg,7,Sphere Valve L,0.2767915143236622,0.08673864736479886,0.8536744117736816,0.9016080837400485,0.2767915143236622,0.08673864736479886,0.8536744117736816,False
